"","essround","cntry","polintr","trstprl","trstplt","trstep","vote","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","clsprty","stfdem","gndr","eisced","uempla","uempli","dsbld","mainact","pdjobev","wrkctra","mbtru"
"1858",7,"BE","Quite interested","7","7","7","Yes","No","No","Yes","No","No","No","No","Yes","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"1872",7,"BE","Not at all interested","4","3","3","No","No","No","No","No","No","No","No","No","2","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Housework, looking after children, others","Not applicable","Unlimited","No"
"1876",7,"BE","Quite interested","7","6","8","Yes","No","No","No","No","No","Yes","Yes","Yes","7","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"1886",7,"BE","Hardly interested","3","3","4","Yes","No","No","No","No","No","No","No","No","6","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"1889",7,"BE","Not at all interested","6","5","6","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Marked","Not marked","Housework, looking after children, others","Yes","Unlimited","Yes, currently"
"1909",7,"BE","Quite interested","7","7","8","Yes","Yes","No","Yes","No","No","No","Yes","Yes","8","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"1916",7,"BE","Quite interested","8","8","9","Yes","No","No","No","No","No","No","No","Yes","8","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"1922",7,"BE","Quite interested","2","2","1","Yes","No","No","No","No","No","No","No","Yes","4","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Marked","Not applicable","Yes","Unlimited","Yes, currently"
"1929",7,"BE","Hardly interested","6","2","5","Yes","No","No","No","No","No","No","No","No","4","Male","ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"1946",7,"BE","Not at all interested","6","3","5","No","No","No","Yes","No","No","No","No","No","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not applicable","Yes","Limited","Yes, currently"
"1954",7,"BE","Hardly interested","4","8","7","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","8","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"1967",7,"BE","Hardly interested","5","3","7","Yes","No","No","No","No","No","No","No","Yes","7","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"1989",7,"BE","Quite interested","6","5","4","Yes","No","No","No","No","No","No","No","Yes","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","Yes, currently"
"1996",7,"BE","Not at all interested","4","3","5","Yes","No","No","No","No","No","No","No","No","2","Male","ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"2014",7,"BE","Very interested","7","6","6","Yes","No","No","No","No","No","No","No","No","5","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2019",7,"BE","Hardly interested","8","Complete trust","8","Not eligible to vote","No","No","No","No","No","No","No","No","7","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"2052",7,"BE","Quite interested","7","5","6","Yes","No","No","No","No","No","No","No","No","7","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2057",7,"BE","Hardly interested","7","6","6","Yes","No","No","No","No","No","No","Yes","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"2067",7,"BE","Hardly interested","4","4","4","Yes","No","No","No","No","No","No","No","No","5","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2071",7,"BE","Quite interested","3","2","7","No","No","No","No","No","No","No","No","No","7","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2077",7,"BE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","No","No","No","No","No","No","No","No","Extremely dissatisfied","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2085",7,"BE","Very interested","Complete trust","7","8","Yes","No","No","No","No","No","No","No","Yes","Extremely satisfied","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, currently"
"2090",7,"BE","Quite interested","2","3","3","Not eligible to vote","No","No","No","No","Yes","Yes","Yes","No","4","Male","ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Paid work","Not applicable","Limited","No"
"2104",7,"BE","Hardly interested","7","4","6","No","No","No","No","No","Yes","No","No","No","6","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2112",7,"BE","Not at all interested","Don't know","Don't know","Don't know","No","No","No","No","No","No","No","No","No","Extremely satisfied","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2118",7,"BE","Quite interested","4","4","3","Yes","No","No","No","No","Yes","No","Yes","Yes","3","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","No"
"2120",7,"BE","Quite interested","Complete trust","7","9","No","No","No","No","No","No","No","No","No","6","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"2124",7,"BE","Quite interested","4","2","2","Yes","No","No","No","No","Yes","No","No","No","2","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2125",7,"BE","Hardly interested","6","3","3","Yes","No","No","No","No","No","No","No","Yes","3","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"2137",7,"BE","Not at all interested","5","Refusal","5","Not eligible to vote","No","No","No","No","No","No","Yes","No","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"2139",7,"BE","Hardly interested","5","3","3","Yes","No","No","No","No","No","No","No","No","4","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"2156",7,"BE","Quite interested","4","4","4","Not eligible to vote","No","No","No","No","No","Yes","Yes","No","7","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, previously"
"2157",7,"BE","Very interested","7","6","7","No","Yes","Yes","No","No","Yes","Yes","No","Yes","3","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"2163",7,"BE","Quite interested","5","4","5","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2170",7,"BE","Hardly interested","9","5","6","No","No","No","No","No","No","No","No","Yes","8","Male","ES-ISCED I , less than lower secondary","Not marked","Marked","Not marked","Not applicable","Yes","Not applicable","No"
"2176",7,"BE","Not at all interested","5","No trust at all","3","Not eligible to vote","No","No","No","No","No","No","No","No","5","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","Limited","Yes, currently"
"2177",7,"BE","Quite interested","5","4","5","Not eligible to vote","No","No","No","No","No","No","No","No","7","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2180",7,"BE","Very interested","7","5","6","Not eligible to vote","Yes","No","Yes","No","Yes","Yes","No","No","9","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"2197",7,"BE","Quite interested","4","4","5","Yes","No","No","No","No","Yes","No","No","Yes","5","Female","ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"2208",7,"BE","Quite interested","4","4","6","No","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","Yes, currently"
"2212",7,"BE","Quite interested","5","5","5","Yes","No","No","No","No","Yes","Yes","No","No","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"2235",7,"BE","Hardly interested","8","7","7","No","No","No","No","No","No","No","No","No","6","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2238",7,"BE","Hardly interested","6","7","7","Yes","No","No","No","No","No","No","No","No","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2271",7,"BE","Hardly interested","8","5","8","Not eligible to vote","No","No","No","Yes","No","No","No","Yes","8","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"2283",7,"BE","Not at all interested","6","1","1","Yes","No","No","No","No","No","No","No","No","1","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2295",7,"BE","Not at all interested","5","6","5","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Marked","Permanently sick or disabled","Yes","Unlimited","Yes, currently"
"2305",7,"BE","Hardly interested","5","4","5","Yes","No","No","No","No","No","No","No","No","7","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","Yes, currently"
"2309",7,"BE","Not at all interested","1","5","1","Yes","Yes","No","No","No","No","No","No","No","5","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2318",7,"BE","Quite interested","4","6","6","Yes","No","No","Yes","No","Yes","No","No","Yes","7","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","No"
"2333",7,"BE","Hardly interested","7","6","7","Yes","No","No","No","No","No","No","No","No","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"2336",7,"BE","Hardly interested","6","5","5","Yes","No","No","Yes","No","Yes","No","No","No","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"2340",7,"BE","Very interested","4","3","6","Yes","Yes","No","Yes","No","Yes","No","No","No","2","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"2361",7,"BE","Very interested","9","8","9","Yes","No","No","No","No","Yes","No","No","Yes","8","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2368",7,"BE","Quite interested","4","4","7","Yes","Yes","No","Don't know","No","No","No","No","No","4","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2376",7,"BE","Hardly interested","2","2","2","Yes","No","No","No","No","Yes","No","No","Yes","4","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2396",7,"BE","Quite interested","7","7","6","Yes","No","No","Yes","Yes","Yes","No","No","Yes","4","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2404",7,"BE","Quite interested","3","1","4","Yes","No","No","No","No","No","No","No","No","5","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"2413",7,"BE","Hardly interested","6","4","6","Yes","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2420",7,"BE","Hardly interested","5","5","5","Yes","Yes","No","No","No","No","No","No","No","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Education","Not applicable","Unlimited","No"
"2426",7,"BE","Not at all interested","4","5","6","No","No","No","No","No","No","No","No","No","5","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2440",7,"BE","Quite interested","6","3","5","Yes","No","No","No","No","No","No","No","Yes","5","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2452",7,"BE","Not at all interested","3","3","4","Yes","No","No","No","No","No","No","No","No","3","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","Yes, currently"
"2456",7,"BE","Hardly interested","2","2","2","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"2465",7,"BE","Not at all interested","3","4","5","Yes","No","No","Yes","No","Yes","No","No","No","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Housework, looking after children, others","Not applicable","Unlimited","No"
"2469",7,"BE","Not at all interested","No trust at all","3","5","Yes","No","No","Yes","No","Yes","No","No","No","5","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2484",7,"BE","Not at all interested","5","5","5","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2490",7,"BE","Quite interested","7","5","7","Yes","No","No","No","No","Yes","No","No","Yes","7","Male","Other","Marked","Not marked","Marked","Paid work","Not applicable","Limited","Yes, currently"
"2500",7,"BE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","No","No","No","No","Yes","No","No","No","7","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2508",7,"BE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","No","No","Yes","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2513",7,"BE","Hardly interested","1","1","1","Yes","No","No","No","No","Yes","No","No","No","1","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2522",7,"BE","Hardly interested","4","5","6","Yes","Yes","No","Yes","No","No","No","No","Yes","7","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2550",7,"BE","Hardly interested","7","4","7","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, currently"
"2555",7,"BE","Hardly interested","5","6","5","Yes","Yes","No","No","No","No","No","No","Yes","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2566",7,"BE","Not at all interested","5","5","5","No","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2594",7,"BE","Hardly interested","3","3","5","Yes","No","No","No","No","No","No","No","No","2","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2605",7,"BE","Hardly interested","4","4","4","Yes","No","No","No","No","Yes","No","No","No","5","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"2624",7,"BE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","No","No","No","No","No","No","No","No","Extremely dissatisfied","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Marked","Not marked","Not applicable","Yes","No contract","Yes, currently"
"2632",7,"BE","Quite interested","6","6","5","Yes","No","No","No","No","No","No","No","No","6","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2645",7,"BE","Quite interested","5","6","6","Yes","Yes","No","No","No","No","No","Yes","Yes","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2656",7,"BE","Quite interested","8","8","8","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2667",7,"BE","Not at all interested","3","1","1","Yes","No","No","No","No","No","No","No","No","4","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2678",7,"BE","Quite interested","7","7","8","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2695",7,"BE","Quite interested","6","6","6","Yes","Yes","No","Yes","No","No","No","No","Yes","6","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"2720",7,"BE","Hardly interested","8","7","8","Yes","No","No","No","No","No","No","No","No","5","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2741",7,"BE","Quite interested","2","2","6","Yes","No","No","No","Yes","Yes","Yes","Yes","No","6","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2748",7,"BE","Quite interested","5","5","5","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2756",7,"BE","Not at all interested","5","5","7","Not eligible to vote","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2759",7,"BE","Hardly interested","4","3","5","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2772",7,"BE","Very interested","5","5","2","Not eligible to vote","No","No","No","No","No","No","No","No","5","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"2775",7,"BE","Very interested","7","6","6","Yes","No","No","Yes","No","Yes","No","No","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","Yes, currently"
"2781",7,"BE","Hardly interested","5","4","5","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"2801",7,"BE","Quite interested","8","7","8","Yes","No","No","No","No","No","No","No","Yes","6","Female","ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Education","Yes","Unlimited","Yes, currently"
"2807",7,"BE","Quite interested","2","2","5","Yes","Yes","No","No","No","No","No","No","Yes","2","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"2811",7,"BE","Quite interested","No trust at all","5","No trust at all","Yes","No","No","No","No","No","No","No","No","Extremely dissatisfied","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2815",7,"BE","Quite interested","7","5","2","Not eligible to vote","No","No","No","No","No","No","No","No","3","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2821",7,"BE","Hardly interested","7","9","5","Yes","No","No","No","No","No","No","No","No","4","Male","Other","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2831",7,"BE","Hardly interested","3","3","5","Yes","Yes","No","No","No","No","No","No","No","3","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2833",7,"BE","Hardly interested","8","7","8","Not eligible to vote","No","No","No","No","No","No","No","No","7","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2845",7,"BE","Very interested","4","4","6","Yes","No","No","No","No","No","No","No","Yes","4","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","Yes, previously"
"2857",7,"BE","Not at all interested","4","No trust at all","4","Yes","Yes","No","No","No","No","No","No","Yes","4","Male","ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Paid work","Not applicable","No contract","No"
"2863",7,"BE","Hardly interested","5","3","6","No","No","No","No","No","No","No","No","No","6","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"2865",7,"BE","Hardly interested","7","4","7","Yes","Yes","No","No","Yes","No","No","No","No","5","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"2867",7,"BE","Not at all interested","6","4","6","Not eligible to vote","No","No","No","No","No","No","No","No","7","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, previously"
"2879",7,"BE","Not at all interested","5","No trust at all","5","No","No","No","No","No","No","No","No","Yes","4","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2881",7,"BE","Hardly interested","8","8","8","Not eligible to vote","No","No","No","No","No","No","No","Yes","7","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"2882",7,"BE","Very interested","2","4","6","Yes","No","No","No","No","No","No","No","Yes","8","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"2889",7,"BE","Not at all interested","5","5","4","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2897",7,"BE","Not at all interested","No trust at all","2","2","Yes","No","No","No","No","Yes","No","No","No","2","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","Yes, previously"
"2907",7,"BE","Hardly interested","3","No trust at all","5","Yes","No","No","No","No","No","No","No","Yes","2","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"2917",7,"BE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"2926",7,"BE","Hardly interested","8","6","4","Yes","No","No","No","No","No","No","No","Yes","8","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2935",7,"BE","Hardly interested","7","7","8","No","No","No","No","No","No","No","No","Yes","7","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, previously"
"2944",7,"BE","Quite interested","4","2","5","Yes","No","No","No","No","No","Yes","No","Yes","2","Female","ES-ISCED II, lower secondary","Not marked","Marked","Not marked","Not applicable","Yes","Unlimited","Yes, currently"
